"","Country.Code","Country.Name","Year","Forest_Area","CO2_Emissions"
"61","COL","Colombia",2018,0.110911373179758,0.857418816898007
"62","COL","Colombia",2019,0.0554570774824147,0.851789669080057
"63","COL","Colombia",2020,0,0.843681734320824
"64","ECU","Ecuador",2000,1,0
"65","ECU","Ecuador",2001,0.943025302922909,0.110627785833199
"66","ECU","Ecuador",2002,0.886050605845818,0.11005658323203
"67","ECU","Ecuador",2003,0.829075908768726,0.136302610444708
"68","ECU","Ecuador",2004,0.772101211691635,0.203582465544766
"69","ECU","Ecuador",2005,0.715126514614545,0.301717025254966
"70","ECU","Ecuador",2006,0.658151817537454,0.399094863570456
"71","ECU","Ecuador",2007,0.601177120460363,0.428890158228003
"72","ECU","Ecuador",2008,0.544202421368458,0.479331741777368
"73","ECU","Ecuador",2009,0.487227724291367,0.616239729337844
"74","ECU","Ecuador",2010,0.430253027214276,0.748041068002402
"75","ECU","Ecuador",2011,0.396341276221272,0.766182853181403
"76","ECU","Ecuador",2012,0.362429523213456,0.774731363904878
"77","ECU","Ecuador",2013,0.328517770205638,0.893067943817098
"78","ECU","Ecuador",2014,0.294606017197822,1
"79","ECU","Ecuador",2015,0.260694266204818,0.986422953556835
"80","ECU","Ecuador",2016,0.208555413366817,0.923346563752557
"81","ECU","Ecuador",2017,0.156416558514004,0.864454110950003
"82","ECU","Ecuador",2018,0.104277705676002,0.943031084162065
"83","ECU","Ecuador",2019,0.0521388528380012,0.91634078825959
"84","ECU","Ecuador",2020,0,0.668023883103632
"85","GUY","Guyana",2000,1,0.164746717641732
"86","GUY","Guyana",2001,0.970170613867502,0.156446501333065
"87","GUY","Guyana",2002,0.940341214512936,0.145429850596106
"88","GUY","Guyana",2003,0.910511828380438,0.14341767694552
"89","GUY","Guyana",2004,0.880682429025872,0.170481412545903
"90","GUY","Guyana",2005,0.850853042893374,0.0748528598018009
"91","GUY","Guyana",2006,0.821023643538808,0
"92","GUY","Guyana",2007,0.791194257406311,0.13702902560491
"93","GUY","Guyana",2008,0.761364858051744,0.13627446048594
"94","GUY","Guyana",2009,0.731535471919247,0.148095980683133
"95","GUY","Guyana",2010,0.701706072564699,0.214598319835002
"96","GUY","Guyana",2011,0.623186457555589,0.25091805422808
"97","GUY","Guyana",2012,0.54466684254648,0.33603299964787
"98","GUY","Guyana",2013,0.466147240759438,0.323356305649178
"99","GUY","Guyana",2014,0.387627625750328,0.367473212938277
"100","GUY","Guyana",2015,0.309108010741218,0.372252125358419
"101","GUY","Guyana",2016,0.247313267881768,0.564716535036974
"102","GUY","Guyana",2017,0.18545137018931,0.570551838623673
"103","GUY","Guyana",2018,0.123656640551909,0.626892700840083
"104","GUY","Guyana",2019,0.061794729637401,0.733789426027466
"105","GUY","Guyana",2020,0,1
"106","PER","Peru",2000,1,0.0655750305041105
"107","PER","Peru",2001,0.957942817180069,0
"108","PER","Peru",2002,0.915885638673591,0.0372422362635427
"109","PER","Peru",2003,0.873828460167114,0.0196571370010857
"110","PER","Peru",2004,0.831771277347182,0.156341172062398
"111","PER","Peru",2005,0.789714098840702,0.156952855537016
"112","PER","Peru",2006,0.747656920334224,0.145724780866797
"113","PER","Peru",2007,0.705599737514293,0.238137023503377
"114","PER","Peru",2008,0.663542559007815,0.386033120578505
"115","PER","Peru",2009,0.621485376187884,0.481494172994335
"116","PER","Peru",2010,0.579428197681403,0.605486576590137
"117","PER","Peru",2011,0.521784959750283,0.712166096082343
"118","PER","Peru",2012,0.464141726132617,0.710276602626716
"119","PER","Peru",2013,0.406498488201495,0.742692624250207
"120","PER","Peru",2014,0.348855250270375,0.840360220718456
"121","PER","Peru",2015,0.291212012339255,0.889432607532994
"122","PER","Peru",2016,0.229121875858014,0.977505420284193
"123","PER","Peru",2017,0.169980390135713,0.903235517352916
"124","PER","Peru",2018,0.116486827945276,0.908199440838038
"125","PER","Peru",2019,0.0582417295691433,1
"126","PER","Peru",2020,0,0.660390772866874
"127","SUR","Suriname",2000,1,0.196655445759583
"128","SUR","Suriname",2001,0.971635072045271,0.218481919861005
"129","SUR","Suriname",2002,0.943270154880441,0
"130","SUR","Suriname",2003,0.914905237715595,0.0633076338364644
"131","SUR","Suriname",2004,0.886540320550749,0.149744814855033
"132","SUR","Suriname",2005,0.858175403385902,0.309805624932132
"133","SUR","Suriname",2006,0.829810486221072,0.224291454012379
"134","SUR","Suriname",2007,0.801445569056226,0.160875230752525
"135","SUR","Suriname",2008,0.773080641101512,0.185362145727006
"136","SUR","Suriname",2009,0.744715723936666,0.180855684656314
"137","SUR","Suriname",2010,0.71635080677182,0.34259963079596
"138","SUR","Suriname",2011,0.649688753135971,0.454609621022912
"139","SUR","Suriname",2012,0.583026699500106,0.719947877076773
"140","SUR","Suriname",2013,0.516364645864241,0.634976653273971
"141","SUR","Suriname",2014,0.449702592228392,0.8156694537952
"142","SUR","Suriname",2015,0.38304052780266,0.872353132804865
"143","SUR","Suriname",2016,0.304537277978912,1
"144","SUR","Suriname",2017,0.254046202758471,0.722934086220002
"145","SUR","Suriname",2018,0.169387189536482,0.561190140080356
"146","SUR","Suriname",2019,0.0846590132219892,0.838310348572049
"147","SUR","Suriname",2020,0,0.80839396242806
"148","VEN","Venezuela, RB",2000,1,0.526684575639498
"149","VEN","Venezuela, RB",2001,0.94363206628874,0.572805628164142
"150","VEN","Venezuela, RB",2002,0.887264132577481,0.614830466925967
"151","VEN","Venezuela, RB",2003,0.830896201886839,0.572606868600494
"152","VEN","Venezuela, RB",2004,0.774528268175581,0.632380494708137
"153","VEN","Venezuela, RB",2005,0.718160334464322,0.687346789503022
"154","VEN","Venezuela, RB",2006,0.661792403773678,0.6781411298907
"155","VEN","Venezuela, RB",2007,0.60542447006242,0.653754656494888
"156","VEN","Venezuela, RB",2008,0.549056536351161,0.728527120963304
"157","VEN","Venezuela, RB",2009,0.492688605660519,0.740227433943363
"158","VEN","Venezuela, RB",2010,0.436320671949261,0.839924347693196
"159","VEN","Venezuela, RB",2011,0.380021230699737,0.805736819369959
"160","VEN","Venezuela, RB",2012,0.323721789450216,1
"161","VEN","Venezuela, RB",2013,0.267422348200693,0.99203990031987
"162","VEN","Venezuela, RB",2014,0.211122903930556,0.979043674984828
"163","VEN","Venezuela, RB",2015,0.154823462681033,0.832978363475589
"164","VEN","Venezuela, RB",2016,0.10696893807203,0.716205794768825
"165","VEN","Venezuela, RB",2017,0.0675593301035511,0.618376337541441
"166","VEN","Venezuela, RB",2018,0.0365946357549745,0.525157218814845
"167","VEN","Venezuela, RB",2019,0.0140748580469188,0.32127230855258
"168","VEN","Venezuela, RB",2020,0,0
